"Baseline","F1","Precisão","Revocação"
"3 Gram + 25% + Bow #",0.829525483304042,0.8,0.861313868613139
"3 Gram + 25% + Bow #",0.877622377622377,0.842281879194631,0.916058394160584
"3 Gram + 25% + Bow #",0.861538461538462,0.810289389067524,0.91970802919708
"3 Gram + 25% + Bow #",0.844919786096257,0.825783972125436,0.864963503649635
"3 Gram + 25% + Bow #",0.838028169014085,0.80952380952381,0.868613138686131
"3 Gram + 25% + Bow #",0.855148342059337,0.819397993311037,0.894160583941606
"3 Gram + 25% + Bow #",0.865979381443299,0.818181818181818,0.91970802919708
"3 Gram + 25% + Bow #",0.876712328767123,0.825806451612903,0.934306569343066
"3 Gram + 25% + Bow #",0.860176991150442,0.835051546391753,0.886861313868613
"3 Gram + 25% + Bow #",0.85,0.832167832167832,0.868613138686131
"3 Gram + 25% + Bow #",0.858638743455497,0.822742474916388,0.897810218978102
"3 Gram + 25% + Bow #",0.880829015544041,0.836065573770492,0.930656934306569
"3 Gram + 25% + Bow #",0.853615520282187,0.825938566552901,0.883211678832117
"3 Gram + 25% + Bow #",0.846560846560847,0.819112627986348,0.875912408759124
"3 Gram + 25% + Bow #",0.870307167235495,0.817307692307692,0.930656934306569
"3 Gram + 25% + Bow #",0.845614035087719,0.814189189189189,0.87956204379562
"3 Gram + 25% + Bow #",0.873720136518771,0.82051282051282,0.934306569343066
"3 Gram + 25% + Bow #",0.857142857142857,0.829351535836177,0.886861313868613
"3 Gram + 25% + Bow #",0.856140350877193,0.824324324324324,0.89051094890511
"3 Gram + 25% + Bow #",0.869565217391304,0.830564784053156,0.912408759124088
"3 Gram + 25% + Bow #",0.860585197934596,0.814332247557003,0.912408759124088
"3 Gram + 25% + Bow #",0.858131487889273,0.815789473684211,0.905109489051095
"3 Gram + 25% + Bow #",0.864583333333333,0.824503311258278,0.908759124087591
"3 Gram + 25% + Bow #",0.853146853146853,0.818791946308725,0.89051094890511
"3 Gram + 25% + Bow #",0.858638743455497,0.822742474916388,0.897810218978102
"3 Gram + 25% + Bow #",0.851657940663176,0.816053511705686,0.89051094890511
"3 Gram + 25% + Bow #",0.870629370629371,0.835570469798658,0.908759124087591
"3 Gram + 25% + Bow #",0.839160839160839,0.805369127516778,0.875912408759124
"3 Gram + 25% + Bow #",0.846286701208981,0.80327868852459,0.894160583941606
"3 Gram + 25% + Bow #",0.862190812720848,0.835616438356164,0.89051094890511
"2 Gram + Types (Info Gain) + Entidades (Info Gain) + Q2 (Poly)",0.86,0.791411042944785,0.941605839416058
"2 Gram + Types (Info Gain) + Entidades (Info Gain) + Q2 (Poly)",0.88107202680067,0.814241486068111,0.95985401459854
"2 Gram + Types (Info Gain) + Entidades (Info Gain) + Q2 (Poly)",0.894117647058824,0.828660436137072,0.970802919708029
"2 Gram + Types (Info Gain) + Entidades (Info Gain) + Q2 (Poly)",0.880672268907563,0.81619937694704,0.956204379562044
"2 Gram + Types (Info Gain) + Entidades (Info Gain) + Q2 (Poly)",0.887788778877888,0.810240963855422,0.981751824817518
"2 Gram + Types (Info Gain) + Entidades (Info Gain) + Q2 (Poly)",0.87603305785124,0.800604229607251,0.967153284671533
"2 Gram + Types (Info Gain) + Entidades (Info Gain) + Q2 (Poly)",0.894389438943894,0.816265060240964,0.989051094890511
"2 Gram + Types (Info Gain) + Entidades (Info Gain) + Q2 (Poly)",0.874791318864775,0.806153846153846,0.956204379562044
"2 Gram + Types (Info Gain) + Entidades (Info Gain) + Q2 (Poly)",0.859618717504333,0.818481848184819,0.905109489051095
"2 Gram + Types (Info Gain) + Entidades (Info Gain) + Q2 (Poly)",0.876441515650741,0.798798798798799,0.970802919708029
"2 Gram + Types (Info Gain) + Entidades (Info Gain) + Q2 (Poly)",0.874371859296482,0.808049535603715,0.952554744525547
