"Baseline","F1","Precisão","Revocação"
"3 GRAM 25 Not Null",0.873015873015873,0.885057471264368,0.861297539149888
"2 Gram + Entidades + Hora + Erro (Not Null)",0.890147225368063,0.901376146788991,0.879194630872483
"2 Gram + Entidades + Hora + Erro + Sentiment (Not Null)",0.880546075085324,0.895833333333333,0.865771812080537
"3 GRAM 25 Q2 (Not Null)",0.845070422535211,0.816326530612245,0.875912408759124
"2 Gram + Entidades + Hora + Erro Q2 (Not Null)",0.887015177065767,0.824451410658307,0.95985401459854
"3 GRAM 25 Q3 (Not Null)",0.758620689655172,0.755725190839695,0.761538461538461
"2 Gram + Entidades + Hora + Erro Q3 (Not Null)",0.790035587188612,0.735099337748344,0.853846153846154
"2 Gram + Entidades + Hora + Erro + Sentiment Q3 (Not Null)",0.846715328467153,0.805555555555556,0.892307692307692
"2 Gram + Entidades + Hora + Erro + SVM poly + Q2 (Not Null)",0.872727272727273,0.797583081570997,0.963503649635037
"2 Gram + Entidades + Hora + Sentiment + Erro Q2 (Not Null)",0.887737478411053,0.842622950819672,0.937956204379562
"2 Gram + Entidades + Hora + Sentiment + Erro + SVM poly Q2 (Not Null)",0.868113522537563,0.8,0.948905109489051
