"Baseline","F1","Precisão","Revocação"
"3 GRAM 25 Not Null",0.887372013651877,0.902777777777778,0.87248322147651
"2 Gram + Entidades + Hora + Erro (Not Null)",0.892733564013841,0.921428571428571,0.865771812080537
"3 GRAM 25 Q2 (Not Null)",0.867256637168142,0.84192439862543,0.894160583941606
"2 Gram + Entidades + Hora + Erro Q2 (Not Null)",0.876480541455161,0.817034700315457,0.945255474452555
"3 GRAM 25 Q3 (Not Null)",0.792452830188679,0.777777777777778,0.807692307692308
"2 Gram + Entidades + Hora + Erro Q3 (Not Null)",0.79136690647482,0.743243243243243,0.846153846153846
