"Baseline","F1","Precisão","Revocação"
"3 GRAM 25 Not Null",0.893095768374165,0.889135254988914,0.897091722595078
"2 Gram + Entidades + Hora + Erro (Not Null)",0.906458797327394,0.902439024390244,0.910514541387025
"2 Gram + Entidades + Hora + Erro + Sentiment (Not Null)",0.880630630630631,0.886621315192744,0.874720357941834
"3 GRAM 25 Q2 (Not Null)",0.857142857142857,0.811074918566775,0.908759124087591
"2 Gram + Entidades + Hora + Erro Q2 (Not Null)",0.883959044368601,0.830128205128205,0.945255474452555
"3 GRAM 25 Q3 (Not Null)",0.80565371024735,0.745098039215686,0.876923076923077
"2 Gram + Entidades + Hora + Erro Q3 (Not Null)",0.781362007168459,0.731543624161074,0.838461538461538
"2 Gram + Entidades + Hora + Erro + Sentiment Q3 (Not Null)",0.801498127340824,0.781021897810219,0.823076923076923
"2 Gram + Entidades + Hora + Erro + SVM poly + Q2 (Not Null)",0.863945578231293,0.808917197452229,0.927007299270073
"2 Gram + Entidades + Hora + Sentiment + Erro Q2 (Not Null)",0.880546075085324,0.826923076923077,0.941605839416058
"2 Gram + Entidades + Hora + Sentiment + Erro + SVM poly Q2 (Not Null)",0.875,0.814465408805031,0.945255474452555
