"Baseline","F1","Precisão","Revocação"
"3 GRAM 25",0.890380313199105,0.890380313199105,0.890380313199105
"2 Gram + Entidades + Hora + Erro",0.907675194660734,0.902654867256637,0.912751677852349
"3 GRAM 25 Q2",0.695340501792115,0.683098591549296,0.708029197080292
"2 Gram + Entidades + Hora + Erro Q2",0.75,0.69811320754717,0.81021897810219
"3 GRAM 25 Q3",0.607287449392713,0.641025641025641,0.576923076923077
"2 Gram + Entidades + Hora + Erro Q3",0.650406504065041,0.689655172413793,0.615384615384615
"3 GRAM 25 Q2 (Not Null)",0.856127886323268,0.833910034602076,0.87956204379562
"2 Gram + Entidades + Hora + Erro Q2 (Not Null)",0.881944444444444,0.841059602649007,0.927007299270073
"3 GRAM 25 Q3 (Not Null)",0.745098039215686,0.76,0.730769230769231
"2 Gram + Entidades + Hora + Erro Q3 (Not Null)",0.815602836879433,0.756578947368421,0.884615384615385
"3 GRAM 25 Not Null",0.867052023121387,0.897129186602871,0.838926174496644
"2 Gram + Entidades + Hora + Erro (Not Null)",0.888150609080842,0.879385964912281,0.897091722595078
