group,year,value
"F1 Q1",1,89.30957684
"F1 Q1",2,91.02990033
"Precision Q1",1,88.9135255
"Precision Q1",2,90.13157895
"Recall Q1",1,89.70917226
"Recall Q1",2,91.94630872
"F1 Q2",1,82.56227758
"F1 Q2",2,87.75510204
"Precision Q2",1,80.55555556
"Precision Q2",2,82.1656051
"Recall Q2",1,84.67153285
"Recall Q2",2,94.16058394
"F1 Q3",1,76.47058824
"F1 Q3",2,80.14184397
"Precision Q3",1,73.23943662
"Precision Q3",2,74.34210526
"Recall Q3",1,80
"Recall Q3",2,86.92307692
