Categoria,Total
"American Restaurant",232
Pub,187
"Bar & Grill",177
"College & University",146
"Religious Organization",76
Bar,68
"Apartment & Condo Building",67
"Public School",67
City,60
"Gym/Physical Fitness Center",60
"Sports Bar",59
Winery/Vineyard,55
"Italian Restaurant",55
Hotel,54
"Grocery Store",54
Brewery,50
"Nonprofit Organization",50
"Barbecue Restaurant",46
"Sports & Recreation",44
Park,43
Restaurant,43
"Elementary School",43
Neighborhood,41
"Burger Restaurant",41
"Medical School",41
"Hair Salon",38
"Coffee Shop",37
"High School",36
"Government Organization",36
"Local Business",34
"Pizza Place",32
Education,31
"Fast Food Restaurant",30
"Arts & Entertainment",28
"Real Estate",28
"Breakfast & Brunch Restaurant",26
"New American Restaurant",25
School,25
"Shopping Mall",24
"Shopping & Retail",24
Residence,23
"Irish Restaurant",23
"Family Style Restaurant",22
"Business Service",22
"Medical & Health",21
Hospital,20
"Mexican Restaurant",20
"Hot Dog Joint",20
Photographer,19
"E-commerce Website",18
"Performance & Event Venue",18
"Car Dealership",18
Veterinarian,18
Playground,18
"Gas Station",18
"Landmark & Historical Place",16
"Golf Course & Country Club",16
Dorm,15
"Stadium, Arena & Sports Venue",15
"Ice Cream Shop",15
"Private School",15
"Religious Center",14
Diner,14
"Tapas Bar & Restaurant",14
Deli,14
Library,13
Airport,13
"Sports Club",13
"Day Care",12
"Fire Station",12
Festival,12
"Hiking Trail",12
"Event Planner",12
Contractor,11
"Art Gallery",10
"Cupcake Shop",10
"Public & Government Service",10
"Greek Restaurant",10
"Performance Art Theatre",10
Farm,10
"Massage Service",10
"Home Improvement",10
"Nursing Home",10
"Beer Bar",10
Steakhouse,9
"Methodist Church",9
"Nail Salon",9
"Caribbean Restaurant",9
"Barber Shop",9
"Real Estate Service",9
"Cocktail Bar",8
"Gay Bar",8
Zoo,8
Community,8
"Sorority & Fraternity",8
"Community Organization",8
"Horseback Riding Center",8
"Home Decor",8
"Landscape Company",8
Lounge,8
Chiropractor,8
Doctor,8
Region,8
"Bed and Breakfast",8
"Public Service",8
Karaoke,8
"Vietnamese Restaurant",7
Casino,7
"Professional Service",7
"Seafood Restaurant",7
"Women's Clothing Store",7
"Bus Station",7
"Pet Service",7
Church,7
"Dive Bar",7
"Sports League",6
"Live Music Venue",6
"Swimming Pool & Hot Tub Service",6
"Emergency Rescue Service",6
"Health Food Store",6
"Construction Company",6
"Personal Trainer",6
"Catholic Church",6
Event,6
"History Museum",6
Campground,6
"Baptist Church",6
"Wine Bar",6
Gastropub,6
"Religious Place of Worship",6
"Beauty, Cosmetic & Personal Care",6
"Movie Theater",6
"Dentist & Dental Office",6
"Convenience Store",6
"Computer Repair Service",5
"Musical Instrument Store",5
"Motor Vehicle Company",5
"Gift Shop",5
Cemetery,5
"House Painting",5
"Social Service",5
"Dance Studio",5
"Martial Arts School",5
"Department Store",5
Cafe,5
Lake,4
"Pet Store",4
"Mobile Phone Shop",4
Organization,4
"Travel Company",4
"Transportation Service",4
"Campus Building",4
"European Restaurant",4
"Funeral Service & Cemetery",4
"Outdoor Equipment Store",4
"Social Club",4
"Carpet Cleaner",4
"Aromatherapy Service",4
Oncologist,4
Locality,4
Inn,4
"Horse Trainer",4
Street,4
"Tanning Salon",4
"Specialty School",4
"Ice Skating Rink",4
"Tattoo & Piercing Shop",4
Spa,4
"Tour Agency",4
"Home Improvement Service",4
"Moving Supply Store",4
"Medical Research Center",4
"Charity Organization",4
"Hotel Resort",4
"Garden Center",4
"Retirement & Assisted Living Facility",4
Beach,4
"Dessert Shop",3
"Physical Therapist",3
"Automotive, Aircraft & Boat",3
"Automotive Repair Shop",3
"Tex-Mex Restaurant",3
Pediatrician,3
"Wine, Beer & Spirits Store",3
"Food Consultant",3
"Bowling Alley",3
Company,3
Highway,3
"Travel & Transportation",3
"Specialty Grocery Store",3
"Eastern Orthodox Church",3
"Beauty Salon",3
"Sunglasses & Eyewear Store",3
"Youth Organization",3
"Cosmetics Store",2
