"Técnica","F1","Precisão","Revocação"
"Alchemy Categories",0.915555555555556,0.909492273730684,0.921700223713647
"Alchemy Categories Sem Center",0.885813148788927,0.914285714285714,0.859060402684564
"Alchemy Categories Teste 2 ",0.984409799554566,0.980044345898004,0.988814317673378
"Alchemy Categories Sem Center Teste 2",0.89041095890411,0.909090909090909,0.87248322147651
"Alchemy Categories Teste 3 ",0.984304932735426,0.986516853932584,0.982102908277405
"Alchemy Categories Sem Center Teste 3",0.903010033444816,0.9,0.906040268456376
