"structure.c.1..0.72686208441222..0.635152656066297..0.591519120574459..","structure.c.1..0.500129489935143..0.483789635293137..0.472701729923136..","structure.c.1..0.710359456652267..0.665555404469583..0.6543134051315..","structure.c.1..0.57977081465339..0.483789635293137..0.482832568056449..","structure.c.1..0.633732759870132..0.53539572874823..0.531072329290839..","structure.c.1..0.76444387653958..0.733768465668744..0.732518605292717..","structure.c.1..0.732076630110452..0.523258070521329..0.45416090919655..","structure.c.1..0.709245286462151..0.611986414748755..0.576557552221104..","structure.c.1..0.665555404469583..0.587144946945271..0.512991650266141..","structure.c.1..0.635152656066297..0.631148195284977..0.509323452264432..","structure.c.1..0.533143090023544..0.490476583349093..0.466980137397248..","structure.c.1..0.605697484940551..0.587144946945271..0.498576342918849..","structure.c.1..0.708718914162784..0.701301456552831..0.533505703305896..","structure.c.1..0.524046962193196..0.512788271601658..0.470955062507907..","structure.c.1..0.620698087422165..0.614068528037459..0.586500220575733..","structure.c.1..0.462465816572917..0.460489604770686..0.458973890081129..","structure.c.1..0.597962687325535..0.473258809770557..0.466574030582513..","structure.c.1..0.549906277276486..0.524006495189494..0.515632034559557..","structure.c.1..0.740962602706329..0.72686208441222..0.717032053157656..","structure.c.1..0.450953857383221..0.437395164136018..0.434377570842728..","structure.c.1..0.768199157772762..0.484430757656418..0.483114116220273..","structure.c.1..0.531045887459409..0.503342528515787..0.473581280075941..","structure.c.1..0.579939977018389..0.505431119107066..0.501519593985957..","structure.c.1..0.745065842534386..0.553460135482551..0.480581183606048..","structure.c.1..0.701301456552831..0.509291969510464..0.498552428559355.."
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.72686208441222,0.500129489935143,0.710359456652267,0.57977081465339,0.633732759870132,0.76444387653958,0.732076630110452,0.709245286462151,0.665555404469583,0.635152656066297,0.533143090023544,0.605697484940551,0.708718914162784,0.524046962193196,0.620698087422165,0.462465816572917,0.597962687325535,0.549906277276486,0.740962602706329,0.450953857383221,0.768199157772762,0.531045887459409,0.579939977018389,0.745065842534386,0.701301456552831
0.635152656066297,0.483789635293137,0.665555404469583,0.483789635293137,0.53539572874823,0.733768465668744,0.523258070521329,0.611986414748755,0.587144946945271,0.631148195284977,0.490476583349093,0.587144946945271,0.701301456552831,0.512788271601658,0.614068528037459,0.460489604770686,0.473258809770557,0.524006495189494,0.72686208441222,0.437395164136018,0.484430757656418,0.503342528515787,0.505431119107066,0.553460135482551,0.509291969510464
0.591519120574459,0.472701729923136,0.6543134051315,0.482832568056449,0.531072329290839,0.732518605292717,0.45416090919655,0.576557552221104,0.512991650266141,0.509323452264432,0.466980137397248,0.498576342918849,0.533505703305896,0.470955062507907,0.586500220575733,0.458973890081129,0.466574030582513,0.515632034559557,0.717032053157656,0.434377570842728,0.483114116220273,0.473581280075941,0.501519593985957,0.480581183606048,0.498552428559355
0.569732129983217,0.472574577558578,0.649440351457155,0.464804143530901,0.523823940735041,0.713750737856743,0.443403861012854,0.480680830117615,0.503205586901198,0.492421868494955,0.463316144807,0.486205296316645,0.531738796547064,0.448260053725216,0.510737060293075,0.450122167022775,0.439155516009429,0.496322406822043,0.68250050349692,0.43063034053493,0.460687087752742,0.470623878332234,0.485459863391454,0.449133780065085,0.495713124596876
0.565767189398023,0.436831225824628,0.640886101334324,0.455672985938061,0.517803725645663,0.69487507366595,0.439743031575008,0.44871790739268,0.465884321545852,0.480170776555022,0.448598809931458,0.482794520062595,0.508380156927619,0.437829398245971,0.504462800086416,0.447008545402426,0.436214763557935,0.481946691882483,0.674905595835909,0.424191606418182,0.455775566833351,0.469723591554496,0.452969143829699,0.441122754769835,0.486205296316645
0.55120922218283,0.434576934171761,0.636790422520497,0.45203444669644,0.517802043718981,0.664910754777359,0.435828043501012,0.444580537772948,0.447050795218584,0.461441028854215,0.437843783508485,0.442867307900679,0.453765662926323,0.424272300043643,0.50160166473292,0.431189031281364,0.432948485151306,0.480170776555022,0.636790422520497,0.420646904103247,0.43947763124548,0.438738706264938,0.431161133587087,0.440761779902163,0.460806594016293
0.549906277276486,0.42893829532009,0.620698087422165,0.450942450378271,0.508249310131772,0.664201849667778,0.432446734021033,0.441478296733331,0.437430021578923,0.454081878952526,0.4347398788214,0.442513030752626,0.447428796434864,0.418786180295526,0.491047256946452,0.428229960538207,0.428896251182132,0.458667179063869,0.61880623478998,0.416309044920658,0.437240524144639,0.42231619508798,0.414682177197199,0.419929434150577,0.439372308216627
0.538264299277602,0.415775011045207,0.605697484940551,0.443095934074227,0.504316396326865,0.653318976032339,0.418234507527558,0.417778943387683,0.436666917746139,0.445068555660449,0.430182210021985,0.429828401338114,0.442864733295266,0.415581064718359,0.475115859616942,0.427531521691289,0.425104576210304,0.45749515488436,0.615618517407534,0.412512547597907,0.432624600144343,0.421075650964654,0.409445270985288,0.418879436707468,0.439366018670036
0.514243686263737,0.415180445168128,0.591519120574459,0.443057696039804,0.496574877892148,0.640355565083621,0.413299233223663,0.409387409183406,0.432987627178004,0.439823434647317,0.420166074289257,0.42833993883303,0.438344362735438,0.411051391384909,0.474214759994601,0.410169343295919,0.407123651756222,0.453334978429948,0.614068528037459,0.408804486191039,0.425178758187184,0.415471105785466,0.409074824790676,0.417653580513845,0.438828039146498
