"Baseline","F1","Precisão","Revocação"
"2 Gram DBPedia Resource",0.879545454545454,0.893764434180139,0.865771812080537
"2 Gram Wikipedia",0.862302483069977,0.870159453302961,0.854586129753915
"2 Gram dbpedia types page rank",0.859668508287293,0.849344978165939,0.870246085011186
"2 Gram dbpedia types (todos)",0.867579908675799,0.885780885780886,0.850111856823266
"2 Gram + 25% + Categoria da localização",0.875565610859729,0.88558352402746,0.865771812080537
"2 Gram + Types CFS",0.867549668874172,0.856209150326797,0.879194630872483
"2 Gram + Info Gain",0.850828729281768,0.84061135371179,0.861297539149888
